x,y,z,water_ice,slope_deg
0.0,0.0,3.0435858057802906e-13,0.07879723051513096,1.6787639514673565e-10
1.0,0.0,3.2343517428065773e-12,0.10120104018548641,8.784359253474679e-10
2.0,0.0,3.0967441688351646e-11,0.1246507748100101,7.560390372372596e-09
3.0,0.0,2.671405339429066e-10,0.14724533502277737,5.859487157705163e-08
4.0,0.0,2.0763025252829288e-09,0.1668143617724065,4.0888394422288074e-07
5.0,0.0,1.4539780691601509e-08,0.18125986066105526,2.5685939967137795e-06
6.0,0.0,9.173635097265151e-08,0.18894353887880663,1.4523058526990088e-05
7.0,0.0,5.214845516086724e-07,0.18903679834156384,7.388864901298885e-05
8.0,0.0,2.670901150563376e-06,0.18176398289769907,0.0003381546130925002
9.0,0.0,1.2325103194789183e-05,0.16851384608615028,0.0013915357902972599
10.0,0.0,5.1243607318286065e-05,0.15184559711444467,0.005146232054537688
11.0,0.0,0.00019195755347024094,0.13542641186134657,0.017092651211893066
12.0,0.0,0.0006478688497279447,0.12385669426861652,0.05094192266295099
13.0,0.0,0.0019700868551547094,0.12217605184596268,0.13607718665826746
14.0,0.0,0.005397591694138171,0.1347376069366184,0.32528385623844225
15.0,0.0,0.013323890832420028,0.16334168383643524,0.6943357793848114
16.0,0.0,0.02963319533860568,0.20516201663803144,1.3193697355091947
17.0,0.0,0.059380285767439846,0.2517558196043283,2.221646656035269
18.0,0.0,0.10720683235101869,0.29054253419247283,3.292095387561588
19.0,0.0,0.1743889754369447,0.30897734122886444,4.2448632610118935
20.0,0.0,0.2555830035197887,0.29971100960883224,4.666039536245861
21.0,0.0,0.3374902993318501,0.26385197485027084,4.180890329643542
22.0,0.0,0.4015198312639642,0.21030109281219472,2.676365391862998
23.0,0.0,0.43039685327810767,0.15159076348744566,0.5166995552811074
24.0,0.0,0.4156689228486764,0.09879253005823341,0.898738356992828
0.0,1.0,3.083137053781236e-13,0.08459784808677424,1.700590581455353e-10
1.0,1.0,3.276381984785973e-12,0.10867256077491921,8.898752740235245e-10
2.0,1.0,3.1369862071520855e-11,0.13388208360555676,7.658894149881254e-09
3.0,1.0,2.706120120556682e-10,0.15818284457244905,5.9358775522180115e-08
4.0,1.0,2.103283974580817e-09,0.17924021332375184,4.1421872279064505e-07
5.0,1.0,1.4728724427283474e-08,0.19480132199873165,2.60213942465331e-06
6.0,1.0,9.292846034611796e-08,0.20312198317545926,1.4712958429131853e-05
7.0,1.0,5.28261217733925e-07,0.20335779265070392,7.485628166755468e-05
8.0,1.0,2.7056093797814644e-06,0.19584486483096888,0.0003425916363166232
9.0,1.0,1.2485267305217249e-05,0.18224568037131042,0.001409839793109884
10.0,1.0,5.190951547755635e-05,0.1655909487931466,0.005214140351388987
11.0,1.0,0.00019445203244584166,0.1502508854750558,0.017319134627246238
12.0,1.0,0.0006562878735974238,0.1417595484781472,0.05162059380335308
13.0,1.0,0.0019956880370381406,0.14620943259470667,0.13790324672223678
14.0,1.0,0.005467733132995336,0.1688113485869673,0.3296921388165139
15.0,1.0,0.013497034139124129,0.21149257320033948,0.7038752383871486
16.0,1.0,0.030018277256017568,0.27024094014884964,1.3378549427911173
17.0,1.0,0.06015192966336495,0.33387147575919307,2.253692702692051
18.0,1.0,0.10859997986986225,0.385992674479741,3.34181120040871
19.0,1.0,0.17665515160422643,0.41043746403529674,4.314196174855253
20.0,1.0,0.2589042920925761,0.3979270110049278,4.754414002152777
21.0,1.0,0.3418759691892383,0.3502355889742488,4.289443226817176
22.0,1.0,0.4067375617427489,0.27925127369813074,2.830095992940711
23.0,1.0,0.43598983923910706,0.201518911330709,1.016762621716275
24.0,1.0,0.42107052007739537,0.13160324639078388,1.2399335531533886
0.0,2.0,2.8139507539025565e-13,0.08719290434222272,1.5522581351766599e-10
1.0,2.0,2.9903236201758057e-12,0.11207052240576033,8.124933952214963e-10
2.0,2.0,2.8630983795454415e-11,0.1381520372610343,6.993529765819728e-09
3.0,2.0,2.469850876091379e-10,0.16332104002943262,5.420815697958368e-08
4.0,2.0,1.919647885482163e-09,0.18515127171363704,3.7833017300249405e-07
5.0,2.0,1.3442770945049957e-08,0.2013041122234662,2.377107353760578e-06
6.0,2.0,8.481494869949345e-08,0.2099919251050984,1.3443577897794476e-05
7.0,2.0,4.821391413906761e-07,0.2104082508074668,6.841714348337261e-05
8.0,2.0,2.469384727696277e-06,0.20304104862191316,0.00031323327046977906
9.0,2.0,1.1395188320643476e-05,0.18984132368546605,0.0012896088779137378
10.0,2.0,4.7377336026512826e-05,0.17428018595286351,0.004772266584175357
11.0,2.0,0.00017747457662570926,0.16132408005712784,0.015863470997126608
12.0,2.0,0.0005989878894360745,0.15722652584709337,0.047329298432419134
13.0,2.0,0.0018214460656202378,0.16880092157993382,0.1266090170980993
14.0,2.0,0.0049903496028048935,0.2017146136638768,0.3032474097942576
15.0,2.0,0.01231861857865104,0.2576863726100589,0.649094599830441
16.0,2.0,0.02739740479970901,0.33144285596462003,1.238399196863967
17.0,2.0,0.05490011143595753,0.40939393792759926,2.0982050830815413
