x,y,z,water_ice,slope_deg
0.0,0.0,-0.0005218362562559139,0.0021636129242520574,0.06118904524385224
1.0,0.0,-0.0011244565432156,0.0030532463469987807,0.11764835496338139
2.0,0.0,-0.0020797765040837775,0.004102056182150764,0.21077509032854502
3.0,0.0,-0.003301841521258101,0.005263760205450029,0.3270641860368849
4.0,0.0,-0.004499469860322906,0.006493334144789056,0.4391747823700631
5.0,0.0,-0.005262983821294495,0.007796109092743159,0.5099696921048097
6.0,0.0,-0.005284066667747101,0.009304216659758694,0.5119182607623969
7.0,0.0,-0.004553759678441516,0.011370371462295518,0.44422417839532674
8.0,0.0,-0.0033685073038197716,0.014650739514713247,0.33334562922795163
9.0,0.0,-0.002138801505680242,0.020127144103443968,0.21645121389962937
10.0,0.0,-0.00116565453047279,0.02900517960377547,0.12172581377116849
11.0,0.0,-0.0005453228995315041,0.0424374482806185,0.05934452683288252
12.0,0.0,-0.00021920040504072146,0.06107706210913371,0.025082773263558147
13.0,0.0,-7.739107980286872e-05,0.08456330318664497,0.009026945596540393
14.0,0.0,-3.543907623800339e-05,0.11114133019201324,0.0023468448286791473
15.0,0.0,-8.203624026574428e-05,0.13765388677042592,0.010030682498618472
16.0,0.0,-0.0003811140130108175,0.1600559924660596,0.044206065616896585
17.0,0.0,-0.0016139701038837338,0.17439569055389162,0.15831660284707627
18.0,0.0,-0.005853820550972563,0.17796366760808247,0.4798407834150575
19.0,0.0,-0.018131758448811527,0.17017685529545057,1.2308596887553744
20.0,0.0,-0.04795534468951156,0.15281695243966414,2.6621695233599727
21.0,0.0,-0.10829981437147532,0.12947782210243014,4.82692828202232
22.0,0.0,-0.20884103394975329,0.10439078669085951,7.28236621683818
23.0,0.0,-0.3438839234343031,0.08108802686510863,9.078017556533203
24.0,0.0,-0.4835476325291073,0.061504620486902355,9.368902507384515
25.0,0.0,-0.5806981209714572,0.045938107125067185,8.486388765862582
26.0,0.0,-0.5957544805995563,0.03375583308469164,8.271659303256579
27.0,0.0,-0.5225023404478305,0.02423600594420397,9.199514177104023
28.0,0.0,-0.392449010687123,0.016956637303502126,9.4035830496268
29.0,0.0,-0.2536622039699811,0.011684476182398956,8.024695579225764
30.0,0.0,-0.1430814690919388,0.008151597637753149,5.673287054041657
31.0,0.0,-0.0734613600677773,0.006029593347089116,3.3765549434705235
32.0,0.0,-0.03877171382066392,0.005075012728519187,1.799578758446175
